,Pressure1,Uptake1,Uptake Stdev,Heat,Heat Stdev,,,Pressure2,Uptake2,Uptake Stdev,Heat,Heat Stdev,,,Pressure3,Uptake3,Uptake Stdev,Heat,Heat Stdev
12389,0.12389,0.333391789,0.030199349,-19.04424,0.758283,,25161,0.25161,0.336664258,0.011481191,-18.51924,0.570956,,71148,0.71148,0.535213145,0.019809539,-18.14064,0.528189
13693,0.13693,0.374211919,0.010279119,-18.93532,0.283502,,27809,0.27809,0.362436744,0.017038942,-18.54849,0.526395,,78637,0.78637,0.579913081,0.031618397,-18.21068,0.313064
23506,0.23506,0.591631095,0.022488149,-18.625,0.242922,,91911,0.91911,1.035622358,0.044716174,-17.63681,0.413852,,150079,1.50079,1.003433546,0.058710532,-18.01962,0.623826
47307,0.47307,1.043732082,0.042273539,-18.30739,0.336883,,165652,1.65652,1.623109278,0.086047529,-17.62407,0.33997,,221521,2.21521,1.36970008,0.046906083,-17.76138,0.57778
103181,1.03181,1.858334119,0.07236547,-17.55597,0.893187,,239393,2.39393,2.164674443,0.049902966,-17.4022,0.641921,,292963,2.92963,1.683535646,0.059005126,-17.43673,0.394256
177561,1.77561,2.758141837,0.071752034,-17.35249,0.586078,,313134,3.13134,2.624263527,0.109706614,-17.139,0.569576,,364405,3.64405,1.969919621,0.069107965,-17.46775,0.874234
251941,2.51941,3.442388113,0.061888931,-17.12379,0.320364,,386875,3.86875,3.047090914,0.071518046,-17.1482,0.577828,,435847,4.35847,2.236747374,0.065898962,-17.40794,0.613981
326321,3.26321,4.041164338,0.108294655,-17.03826,0.400941,,460616,4.60616,3.371944271,0.09661089,-17.07703,0.418123,,507289,5.07289,2.474387269,0.069347626,-17.31823,0.386246
400701,4.00701,4.548975907,0.041658707,-17.18025,0.756804,,534357,5.34357,3.648503692,0.113655914,-17.00265,0.192048,,578731,5.78731,2.721580204,0.066121456,-17.39537,0.253496
475081,4.75081,5.015552928,0.160153445,-17.19157,0.23709,,608098,6.08098,3.971227801,0.062422127,-17.21993,0.281903,,650173,6.50173,2.984756795,0.03960521,-17.07345,0.137247
549461,5.49461,5.366164481,0.110105746,-17.19858,0.287318,,681839,6.81839,4.243414402,0.105567599,-17.30035,0.441579,,721615,7.21615,3.210107066,0.090797811,-17.26319,0.375638
623841,6.23841,5.733767155,0.044328532,-17.44238,0.36977,,755580,7.5558,4.532970815,0.085760753,-16.9297,0.163529,,793057,7.93057,3.412064179,0.061251743,-17.30008,0.261907
698221,6.98221,6.062664657,0.167581767,-17.59066,0.473928,,829321,8.29321,4.771996865,0.041289696,-16.99986,0.237769,,864499,8.64499,3.590806763,0.029952967,-17.0008,0.315501
772601,7.72601,6.295360121,0.078073556,-17.55466,0.771125,,903062,9.03062,4.977676592,0.139226138,-17.59178,0.529303,,935941,9.35941,3.755480586,0.093178233,-17.43718,0.398077
846981,8.46981,6.590789832,0.07403716,-17.70434,0.576901,,976803,9.76803,5.226963049,0.040860767,-17.41177,0.338182,,1007383,10.07383,3.93667395,0.036066178,-17.10593,0.555462
921361,9.21361,6.800849523,0.165814606,-17.67041,0.486825,,1050544,10.50544,5.360105411,0.062525247,-17.2691,0.672886,,1078825,10.78825,4.069651973,0.058809728,-17.11328,0.587307
995741,9.95741,7.029250764,0.061186729,-17.48259,0.387779,,1124285,11.24285,5.548401035,0.015013033,-17.26836,0.508801,,1150267,11.50267,4.216427244,0.054591763,-17.38356,0.397119
1070121,10.70121,7.229114354,0.093865244,-17.60841,0.490769,,1198026,11.98026,5.728136792,0.044881349,-17.20827,0.678921,,1221709,12.21709,4.410488988,0.147286113,-17.32677,0.586939
1144501,11.44501,7.38139852,0.083036581,-17.88943,0.576767,,1271767,12.71767,5.889409532,0.035865822,-17.66232,0.401834,,1293151,12.93151,4.549604679,0.068313136,-17.50305,0.360431
1218881,12.18881,7.597302928,0.081293656,-17.76869,0.426355,,1345508,13.45508,6.083471277,0.086581577,-17.68679,0.25833,,1364593,13.64593,4.652251623,0.133794186,-17.25931,0.582704
1293261,12.93261,7.769186187,0.062461716,-17.6326,0.502965,,1419249,14.19249,6.224587604,0.041975462,-17.52296,0.46331,,1436035,14.36035,4.809837476,0.093618712,-17.2709,0.206269
1367641,13.67641,7.936053565,0.008943169,-17.70467,0.306978,,1492990,14.9299,6.337016232,0.123818345,-17.60753,0.434538,,1507477,15.07477,4.881796085,0.074010314,-17.25517,0.281663
